Events
100
Subject,Context,Name,Time (s),Description
Julie,Left,Foot Off,237.686,The instant the toe leaves the ground
Julie,Left,Foot Strike,238.078,The instant the heel strikes the ground
Julie,Left,Foot Off,238.829,The instant the toe leaves the ground
Julie,Left,Foot Strike,239.249,The instant the heel strikes the ground
Julie,Left,Foot Off,239.991,The instant the toe leaves the ground
Julie,Left,Foot Strike,240.409,The instant the heel strikes the ground
Julie,Left,Foot Off,241.177,The instant the toe leaves the ground
Julie,Left,Foot Strike,241.585,The instant the heel strikes the ground
Julie,Left,Foot Off,242.334,The instant the toe leaves the ground
Julie,Left,Foot Strike,242.739,The instant the heel strikes the ground
Julie,Left,Foot Off,243.528,The instant the toe leaves the ground
Julie,Left,Foot Strike,243.916,The instant the heel strikes the ground
Julie,Left,Foot Off,244.713,The instant the toe leaves the ground
Julie,Left,Foot Strike,245.19,The instant the heel strikes the ground
Julie,Left,Foot Off,246.152,The instant the toe leaves the ground
Julie,Left,Foot Strike,246.682,The instant the heel strikes the ground
Julie,Left,Foot Off,247.661,The instant the toe leaves the ground
Julie,Left,Foot Strike,248.232,The instant the heel strikes the ground
Julie,Left,Foot Off,249.243,The instant the toe leaves the ground
Julie,Left,Foot Strike,249.779,The instant the heel strikes the ground
Julie,Left,Foot Off,250.724,The instant the toe leaves the ground
Julie,Left,Foot Strike,251.266,The instant the heel strikes the ground
Julie,Left,Foot Off,252.266,The instant the toe leaves the ground
Julie,Left,Foot Strike,252.773,The instant the heel strikes the ground
Julie,Left,Foot Off,253.746,The instant the toe leaves the ground
Julie,Left,Foot Strike,254.228,The instant the heel strikes the ground
Julie,Left,Foot Off,255.167,The instant the toe leaves the ground
Julie,Left,Foot Strike,255.649,The instant the heel strikes the ground
Julie,Left,Foot Off,256.572,The instant the toe leaves the ground
Julie,Left,Foot Strike,257.092,The instant the heel strikes the ground
Julie,Left,Foot Off,257.981,The instant the toe leaves the ground
Julie,Left,Foot Strike,258.427,The instant the heel strikes the ground
Julie,Left,Foot Off,259.343,The instant the toe leaves the ground
Julie,Left,Foot Strike,259.802,The instant the heel strikes the ground
Julie,Left,Foot Off,260.738,The instant the toe leaves the ground
Julie,Left,Foot Strike,261.232,The instant the heel strikes the ground
Julie,Left,Foot Off,262.158,The instant the toe leaves the ground
Julie,Left,Foot Strike,262.61,The instant the heel strikes the ground
Julie,Left,Foot Off,263.501,The instant the toe leaves the ground
Julie,Left,Foot Strike,263.979,The instant the heel strikes the ground
Julie,Left,Foot Off,264.944,The instant the toe leaves the ground
Julie,Left,Foot Strike,265.383,The instant the heel strikes the ground
Julie,Left,Foot Off,266.313,The instant the toe leaves the ground
Julie,Left,Foot Strike,266.829,The instant the heel strikes the ground
Julie,Left,Foot Off,267.82,The instant the toe leaves the ground
Julie,Left,Foot Strike,268.28,The instant the heel strikes the ground
Julie,Left,Foot Off,269.226,The instant the toe leaves the ground
Julie,Left,Foot Strike,269.735,The instant the heel strikes the ground
Julie,Left,Foot Off,270.688,The instant the toe leaves the ground
Julie,Left,Foot Strike,271.162,The instant the heel strikes the ground
Julie,Left,Foot Off,272.069,The instant the toe leaves the ground
Julie,Left,Foot Strike,272.577,The instant the heel strikes the ground
Julie,Left,Foot Off,273.476,The instant the toe leaves the ground
